sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
141,28.15517953647723,1.0599378376525794,24.176884286659714,28.359650954319854,17.863276393242316,18.50335077944736
142,26.877159807423197,1.0546309208844393,25.888172940130612,26.79549953560869,16.99596954414053,18.110403630143303
143,25.921775326386488,1.0478918620903548,25.818848591723164,27.056773810410345,18.33952951580837,18.267205488606777
144,25.33391649880577,1.0397804029162705,30.553077599515078,26.846377016851665,17.98342428362129,19.09861733063091
145,25.147238839982286,1.0304174508665722,28.846885634023145,27.692189307030247,20.153827706221396,20.55935063575493
146,25.38272599800221,1.0199819148915463,23.124900318866324,28.611922466483787,22.020335603362955,22.508945045164417
147,26.047748428753266,1.0087045144529363,30.117234391023526,27.287394213728145,24.299636069760634,25.379440073311486
148,27.135656768102006,0.9968588592082245,30.417514388990867,29.106223589666723,28.08750156285581,28.35719148751487
149,28.625927195245318,0.9847502429203018,23.930436335736864,30.721131969724258,32.33589942435663,32.087819875097175
150,30.484853618193057,0.9727027181455231,37.94103251371603,31.986628207461017,35.04258477723832,35.935805760719255
151,32.666759256078166,0.9610451110547643,31.199442219153994,33.729083323260916,40.673477541274494,39.98759226915051
152,35.11567905390129,0.950096693394693,36.44471557970734,37.50233770750266,43.53956549787102,44.17216050977466
153,37.76744520805559,0.9401532479865958,39.12978996799035,37.63506424952714,48.346434105012115,48.78812972999046
154,40.55209168912255,0.9314742442327829,42.79670825694558,40.388543368205674,53.25874062747735,52.75562520817449
155,43.39648069236868,0.9242717819164785,38.60466522383844,43.92225796692692,58.122430878317324,56.76772559112986
156,46.227044955897554,0.9187018682593285,44.96683781254667,46.50031014228789,60.510954932194636,60.6990362652135
157,48.972535228998176,0.914858469750977,54.113288573313575,49.36535971001287,63.600067412647896,64.0719256692986
158,51.566662039027776,0.9127706333179837,52.02005084479515,53.36048837817545,68.00298747543027,66.63090883559833
159,53.95052529919542,0.9124028088486409,57.121956095570496,55.644110289086846,70.12318764790284,69.23723591838571
160,56.07473404156539,0.9136583356682323,58.58030856465134,55.16479596591755,70.91734670981606,71.42772183984307
161,57.90113129124333,0.9163858883659889,56.38494736710369,56.75148186712511,73.54259034613145,72.81411647547243
162,59.404055297514255,0.9203885213880911,51.71671695746708,58.782249451038,74.55249701993476,73.99440491234523
163,60.57108734225479,0.9254348154021734,59.953480350832955,58.62100444447221,74.93496065357704,74.18632272743596
164,61.403257377034905,0.9312715189226348,67.27579401513499,60.41803291504867,76.02462983226688,73.47370302234205
165,61.914700936882625,0.937637001926476,57.77408353182235,63.22210183752626,71.87693578526962,72.82764055776758
166,62.13178323197427,0.9442747982837176,65.37008971998601,62.33156741622423,69.97949182066195,71.90133259269328
167,62.091728109362094,0.950946512884994,65.73706156985502,61.16433877518868,71.32218469706243,70.17283866571043
168,61.840809813287144,0.9574434073816613,55.500808244322776,62.28086018237466,70.3034208282055,69.05874259991452
169,61.43218332637033,0.9635960533702216,61.43965080995729,61.23184018177267,67.38216019735263,68.16158351872073
170,60.92344381438119,0.969281549575307,63.35669056775221,60.0013171876401,66.30645545629015,66.70314675000627
171,60.374016721216655,0.974427934269004,60.12498971697602,61.188268751180956,65.49369641469292,65.22821898590401
172,59.84248691727778,0.9790155785125357,59.5844465991922,60.161984545546105,64.03000085349015,64.12559402652961
