wavelength_nm,blue_pilot_normalized_power,green_data_normalized_power,red_pilot_normalized_power
669.0,3.969377640126396e-93,2.037775340763726e-08,0.7791645796604999
670.0,5.661722028113495e-94,1.5779695731797415e-08,0.7348672461377994
671.0,8.004265457476511e-95,1.2196770012447681e-08,0.688831117541916
672.0,1.121608365094034e-95,9.41011502632861e-09,0.6417129487814521
673.0,1.557786055735671e-96,7.2468440786919286e-09,0.5941457918240558
674.0,2.1444760505345624e-97,5.570661763102236e-09,0.5467256203072339
675.0,2.9260477216827695e-98,4.2743349351484e-09,0.5
676.0,3.957203872332298e-99,3.2736647213402824e-09,0.4544590543915458
677.0,5.304473229409803e-100,2.5026708421635683e-09,0.4105288611501579
678.0,7.047627062863023e-101,1.909752806809772e-09,0.3685673043227753
679.0,9.280906197566821e-102,1.4546364565240094e-09,0.3288623045485639
680.0,1.2113919072122187e-102,1.1059504411552754e-09,0.2916322598940292
681.0,1.5672048565085472e-103,8.393068202352904e-10,0.2570284566640167
682.0,2.0096188034222124e-104,6.357841925089641e-10,0.22513915489753988
683.0,2.5541618778636892e-105,4.807315075725925e-10,0.19599501811606668
684.0,3.217584547172969e-106,3.6282678118930194e-10,0.169575540930959
685.0,4.0175226371750066e-107,2.733379748720807e-10,0.14581612994701462
686.0,4.972027403360579e-108,2.0554385454718355e-10,0.12461551077626158
687.0,6.098956147485497e-109,1.5428116451707252e-10,0.1058431640453159
688.0,7.415224838627852e-110,1.1559131584540914e-10,0.08934653283089655
689.0,8.935934013946735e-111,8.644530173589325e-11,0.07495778967400175
690.0,1.0673390487205666e-111,6.452997087518613e-11,0.0625
691.0,1.263605942893336e-112,4.808232186024112e-11,0.05179256750220931
692.0,1.4827493324507606e-113,3.576129860866582e-11,0.042655893356044
693.0,1.724529511047681e-114,2.6548807495037037e-11,0.03491522306475687
694.0,1.9880181275666241e-115,1.9673455326337805e-11,0.02840369089947164
695.0,2.2715215729546472e-116,1.4551915228366805e-11,0.022964601441806242
696.0,2.572528574143568e-117,1.074393955496274e-11,0.018453010334836414
